"entity","en.hedo.happiness.delta_one_of_5__max","en.hedo.happiness.delta_one_of_5__mean","en.hedo.happiness.delta_one_of_5__mean_word_count_per_tweet","en.hedo.happiness.delta_one_of_5__median","en.hedo.happiness.delta_one_of_5__min","en.hedo.happiness.delta_one_of_5__mode","en.hedo.happiness.delta_one_of_5__num_tweets","en.hedo.happiness.delta_one_of_5__num_tweets_percentage","en.hedo.happiness.delta_one_of_5__sd","en.hedo.happiness.more_than_7__max","en.hedo.happiness.more_than_7__mean","en.hedo.happiness.more_than_7__mean_word_count_per_tweet","en.hedo.happiness.more_than_7__median","en.hedo.happiness.more_than_7__min","en.hedo.happiness.more_than_7__mode","en.hedo.happiness.more_than_7__num_tweets","en.hedo.happiness.more_than_7__num_tweets_percentage","en.hedo.happiness.more_than_7__sd","en.hedo.happiness.no_filter__max","en.hedo.happiness.no_filter__mean","en.hedo.happiness.no_filter__mean_word_count_per_tweet","en.hedo.happiness.no_filter__median","en.hedo.happiness.no_filter__min","en.hedo.happiness.no_filter__mode","en.hedo.happiness.no_filter__num_tweets","en.hedo.happiness.no_filter__num_tweets_percentage","en.hedo.happiness.no_filter__sd"
"Arkansas,Drew County",7.9,6.27,1.18,6.41,1.49,6.46,94,2.93,1.14,7.9,7.35,1,7.33,7.07,7.24,14,0.44,0.29,7.9,6.13,1.17,6.41,1.49,6.46,103,3.21,1.16
"Arkansas,Faulkner County",7.93,6.25,1.29,6.41,1.48,6.46,123,3.35,1.31,7.93,7.33,1.05,7.33,7.03,7.24,22,0.6,0.25,7.93,6.18,1.29,6.41,1.48,6.46,128,3.48,1.31
"Arkansas,Franklin County",8.13,6.52,1.19,6.41,2.07,6.46,81,2.16,0.77,8.13,7.32,1,7.33,7.07,7.24,17,0.45,0.27,8.13,6.47,1.18,6.41,2.07,6.46,84,2.24,0.8
"Arkansas,Fulton County",7.93,6.53,1.08,6.41,1.49,6.46,37,1.34,0.96,7.93,7.39,1,7.36,7.17,7.44,9,0.33,0.21,7.93,6.51,1.11,6.41,1.49,6.46,37,1.34,0.96
"Arkansas,Garland County",7.72,6.44,1.22,6.41,1.49,6.46,37,2.75,1.23,7.72,7.49,1,7.36,7.17,7.63,9,0.67,0.22,7.72,6.26,1.2,6.41,1.49,6.46,41,3.05,1.29
"Arkansas,Greene County",7.36,5.63,1.22,6.41,1.77,6.65,18,2.34,1.98,7.36,7.21,1,7.21,7.07,7.24,4,0.52,0.17,7.36,5.63,1.22,6.41,1.77,6.65,18,2.34,1.98
"Arkansas,Hempstead County",7.72,6.59,1.4,6.41,6.12,6.46,10,2.38,0.48,7.72,7.45,1,7.45,7.17,7.24,2,0.48,0.39,7.72,6.59,1.4,6.41,6.12,6.46,10,2.38,0.48
"Arkansas,Howard County",7.72,6.75,1.2,6.41,6.41,6.46,10,4.78,0.52,7.72,7.48,1,7.36,7.36,7.44,3,1.44,0.21,7.72,6.75,1.2,6.41,6.41,6.46,10,4.78,0.52
"Arkansas,Independence County",8.07,6.11,1.17,6.41,1.48,6.46,132,1.98,1.5,8.07,7.42,1.04,7.36,7.07,7.44,28,0.42,0.27,8.07,6.01,1.16,6.41,1.48,6.46,147,2.21,1.46
"Arkansas,Izard County",8.5,6.13,1.24,6.53,1.17,6.46,483,7.4,1.93,8.5,7.77,1.14,7.79,7.03,8.02,192,2.94,0.42,8.5,5.99,1.25,6.41,1.17,6.46,562,8.61,1.79
"Arkansas,Jackson County",8.5,6.41,1.21,6.41,1.68,6.46,192,2.94,1.18,8.5,7.46,1,7.36,7.07,7.24,45,0.69,0.36,8.5,6.35,1.2,6.41,1.68,6.46,201,3.07,1.19
"Arkansas,Jefferson County",7.36,6.03,1.16,6.41,1.64,6.46,49,1.89,1.38,7.36,7.21,1,7.25,7.03,7.24,6,0.23,0.14,7.36,5.92,1.16,6.41,2.07,6.46,56,2.17,1.27
"Arkansas,Johnson County",7.72,6.47,1.17,6.41,2.07,6.46,36,2.27,0.84,7.72,7.37,1,7.36,7.07,7.44,6,0.38,0.21,7.72,6.25,1.15,6.41,2.07,6.46,41,2.59,0.97
"Arkansas,Lafayette County",7.33,6.59,1.6,6.41,6.41,6.46,5,2.15,0.41,7.33,7.33,1,7.33,7.33,7.33,1,0.43,NA,7.33,6.31,1.5,6.41,4.87,6.46,6,2.58,0.79
"Arkansas,Lincoln County",7.92,6.33,1.09,6.41,1.89,6.46,34,1.69,1.26,7.92,7.44,1,7.36,7.33,7.24,7,0.35,0.21,7.92,6.27,1.09,6.41,1.89,6.46,35,1.74,1.29
"Arkansas,Little River County",6.41,6.41,NA,6.41,6.41,6.46,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41,6.41,NA,6.41,6.41,6.46,NA,NA,0
"Arkansas,Logan County",8.18,6.63,1.17,6.41,6.02,6.46,24,5.66,0.53,8.18,7.7,1.25,7.72,7.18,7.63,4,0.94,0.41,8.18,6.44,1.15,6.41,4.09,6.46,27,6.37,0.78
"Arkansas,Lonoke County",8.41,6.38,1.13,6.41,1.48,6.46,179,2.94,1.18,8.41,7.5,1,7.36,7.03,7.24,39,0.64,0.27,8.41,6.26,1.12,6.41,1.48,6.46,194,3.19,1.21
"Arkansas,Madison County",8.5,6.67,1.19,6.41,1.49,6.46,86,4.63,1.24,8.5,7.73,1.03,7.72,7.07,7.24,31,1.67,0.49,8.5,6.56,1.17,6.41,1.49,6.46,93,5.01,1.27
"Arkansas,Miller County",8.07,6.32,1.29,6.41,1.66,6.46,49,1.45,1.49,8.07,7.48,1,7.33,7.07,7.24,13,0.38,0.37,8.07,6.2,1.26,6.41,1.66,6.46,53,1.56,1.49
"Arkansas,Mississippi County",7.72,6.33,1.14,6.41,1.48,6.46,69,2.77,1.18,7.72,7.36,1,7.36,7.03,7.24,14,0.56,0.24,7.72,6.21,1.13,6.41,1.48,6.46,76,3.05,1.19
"Arkansas,Monroe County",7.36,6.05,1.1,6.41,1.49,6.46,39,1.96,1.49,7.36,7.31,1.14,7.36,7.07,7.44,7,0.35,0.11,7.36,6.05,1.1,6.41,1.49,6.46,39,1.96,1.49
"Arkansas,Newton County",8.5,6.03,1.14,6.41,1.24,6.46,348,2.58,1.8,8.5,7.5,1.05,7.36,7.07,7.44,99,0.73,0.32,8.5,5.87,1.12,6.41,1.24,6.46,415,3.07,1.69
