word,valence,arousal,dominance
barril,4.73,4.12,4.90
bastardo,2.89,5.30,4.20
basto,3.07,4.57,4.66
bastón,3.83,4.09,5.19
basura,2.06,4.31,4.42
bebé,7.60,5.54,5.31
bebida,6.26,5.62,5.39
belleza,7.47,5.76,5.13
bendecir,5.70,4.37,4.80
beso,8.43,7.71,6.16
bestia,2.80,6.88,2.87
blanco,6.10,3.99,5.50
blasfemia,2.79,5.57,4.40
boda,6.87,5.91,5.64
bodega,5.23,4.54,5.18
bofetada,2.06,7.16,4.67
bomba,1.42,7.79,2.22
bombilla,5.29,4.59,5.81
botella,5.10,4.68,5.44
boxeador,3.62,5.02,3.90
brazo,5.37,4.83,5.58
brillante,7.03,5.74,5.61
brío,5.78,5.77,5.32
brisa,7.31,4.51,4.99
brutal,1.90,6.68,3.90
buceador,5.52,5.22,4.83
bueno,7.92,4.87,6.53
búho,5.92,4.59,4.22
bulto,3.10,5.29,3.71
burla,2.20,6.21,3.94
caballo,6.36,5.66,4.78
cable,4.53,4.40,5.17
cachorro,7.21,5.69,5.86
cadáver,1.41,6.87,2.54
caída,2.26,6.17,3.42
calidad,6.78,5.02,5.68
callado,4.03,3.57,4.76
calle,5.53,5.43,5.24
callejón,3.46,5.58,4.03
calmar,6.60,3.56,5.80
calor,5.92,5.66,4.44
cama,7.71,4.57,6.02
camión,4.67,4.56,4.87
campeón,7.29,6.84,6.09
campo,7.23,4.18,5.97
cáncer,1.23,6.18,1.91
canción,8.01,6.61,6.44
cansado,2.47,2.58,4.17
cañón?,2.74,6.04,3.51
caos,2.00,7.02,2.60
capaz,7.52,5.92,6.70
capricho,5.92,6.21,5.42
cara,6.02,5.11,5.03
caramelo,7.33,4.41,6.11
cárcel,1.87,5.18,3.41
caricia,8.27,6.04,6.68
cariñoso,8.41,6.21,6.09
carretera,5.00,5.60,4.82
carro,4.53,4.18,5.26
carroña,2.08,5.09,4.52
carta,6.79,5.99,5.72
casa,7.03,4.69,6.12
cascada,7.20,5.20,4.68
casino,4.84,4.80,4.30
casita,6.69,4.50,5.84
castigo,1.87,6.41,3.72
celos,2.27,6.87,3.10
célula,4.91,4.39,4.37
cementerio,2.06,5.01,3.19
cena,6.58,5.14,5.81
cerdo,3.71,4.67,4.52
césped,6.31,4.03,5.81
cesta,5.18,3.79,5.82
chaleco,4.92,4.30,5.36
champiñón?,4.88,4.23,5.11
chantaje,2.13,5.92,3.76
chica,5.97,4.92,5.10
chico,7.13,6.54,5.42
chiflado,4.03,5.59,3.31
chillido,2.78,6.78,4.58
chiste,7.20,5.97,5.59
chocolate,7.72,6.10,5.84
choque,2.01,6.93,3.14
cicatriz,3.01,5.01,3.88
ciclón,2.13,6.34,2.04
ciego,2.41,5.21,3.24
cielo,7.56,4.56,4.48
ciempiés,4.12,4.88,4.26
cieno,3.77,4.51,4.22
circo,6.20,5.56,4.72
círculo,4.82,4.20,4.92
cirugía,3.08,5.70,3.68
ciudad,5.66,5.97,4.56
cobarde,2.56,5.49,4.10
coche,6.67,5.83,4.93
cocina,5.71,4.93,5.61
cocinero,5.99,5.11,5.38
codo,4.59,4.26,5.28
coito,7.26,7.58,6.07
cólera,2.11,7.58,3.64
color,6.77,5.84,5.52
columna,4.71,4.14,5.29
comedia,7.71,6.33,5.62
comer,7.18,5.53,5.82
comida,6.77,5.50,5.09
comprometido,6.23,5.47,6.38
concentrado,6.12,5.21,6.23
conejito,6.46,4.88,5.03
conejo,6.18,5.02,4.81
confianza,7.78,5.29,5.77
confort,8.04,3.56,6.63
confuso,2.78,5.78,3.28
conocimiento,7.73,6.29,7.22
considerado,6.99,4.77,5.07
consigna,4.79,4.69,4.89
consolado,5.54,4.49,5.06
contaminar,1.58,6.56,4.60
contenido,5.21,4.27,4.63
contexto,5.00,4.89,5.01
convencido,6.51,5.29,6.43
coqueto,5.79,5.13,5.30
corazón,6.64,6.22,4.84
corcho,4.93,4.16,5.20
cordero,5.38,4.74,5.06
corona,5.21,4.48,4.64
corredor,4.08,5.50,4.22
correo,6.43,5.54,4.76
corrupto,2.08,6.14,3.38
corte,2.88,6.00,3.90
cortesía,6.92,4.80,5.76
cortina,4.79,4.08,5.22
costa,7.23,4.87,4.90
costumbre,5.43,4.32,5.76
cotilleo,4.19,5.72,4.64
cráneo,4.42,4.94,4.63
crepe,6.88,5.24,5.53
crepúsculo,6.32,4.02,4.38
criatura,5.93,5.39,4.73
crimen,1.64,6.67,3.02
criminal,1.77,6.81,2.97
crisis,1.88,6.41,2.94
crucificar,1.87,6.26,3.19
cruel,1.77,6.63,3.73
cuadrado,4.87,4.16,5.16
cucaracha,2.57,6.14,4.53
cuchillo,2.86,5.68,4.64
cuenco,5.01,3.89,5.34
cuerpo,6.02,5.59,5.53
culpa,2.09,6.46,3.62
culpable,2.36,6.19,3.82
cumpleaños,7.54,6.74,5.74
cura,4.52,5.08,4.99
curar,7.66,6.27,5.67
curioso,5.62,6.07,5.08
daga,3.66,5.84,4.63
daño,1.80,6.83,3.66
débil,2.56,4.99,3.46
decepcionar,1.57,6.01,3.64
decorar,6.83,5.98,6.68
dedicado,6.51,5.34,6.03
dedo,4.86,4.06,5.47
defendido,6.17,5.28,4.90
deforme,2.23,5.22,3.00
deleite,7.23,5.73,5.41
delicado,5.64,4.13,5.18
demente,2.27,5.63,3.16
demonio,2.91,6.47,3.58
dentista,3.00,6.42,3.69
deportes,6.56,6.60,6.23
depresión,1.56,4.88,3.04
deprimido,1.50,4.19,2.86
desagrado,2.21,5.46,4.12
desanimado,2.16,3.29,3.42
desastre,1.60,6.92,3.09
descanso,7.52,2.76,6.54
descomposición,1.94,4.99,2.87
desdén,3.08,5.00,3.77
desdeñoso,2.66,4.76,4.43
desenfadado,6.26,5.44,5.28
deseo,7.98,7.31,5.26
desertor,3.38,5.08,3.81
desesperado,2.00,7.27,2.68
desleal,1.74,5.92,3.13
deslumbramiento,4.38,6.02,3.80
desnudo,5.48,6.43,5.30
desordenado,3.33,5.44,4.78
despedazar,2.52,6.29,4.16
desperdicio,2.70,4.52,4.43
despreciar,1.98,5.79,4.50
despreocupado,5.07,4.00,4.67
destrucción,1.50,6.70,2.53
destruir,2.09,6.29,3.97
desventaja,2.34,5.37,3.43
desvestido,5.12,6.02,4.90
detalle,6.33,5.62,5.31
detestar,2.18,5.77,4.13
deuda,1.92,6.09,4.26
devoto,4.22,4.16,4.76
diablo,2.70,6.17,3.49
diamante,6.69,4.96,4.81
dicha,6.70,5.51,5.16
dificultar,2.21,6.21,4.22
digno,7.00,4.76,6.02
dinero,7.46,6.40,5.50
díos,5.59,4.29,4.00
diploma,7.46,6.10,6.01
disgustado,2.19,5.46,3.49
distante,2.73,4.48,4.46
disturbio,2.57,6.64,3.31
diversión,8.32,7.68,6.23
divorcio,2.28,6.46,3.64
doctor,4.77,5.62,4.30
dólar,5.68,5.12,4.89
dolencia,1.83,5.69,2.74
dolor,1.61,6.40,2.60
dormir,7.79,2.51,5.78
duro,4.24,5.14,4.96
edificio,4.97,4.48,5.12
educación,7.07,5.73,6.48
efectivo,6.80,5.40,6.04
egoísta,2.12,6.04,4.18
ejecución,2.48,6.68,3.96
ejercicio,5.70,6.33,6.26
ejército,2.49,5.79,3.19
electrodoméstico,5.10,4.02,5.32
elegante,7.23,5.03,6.11
empleo,6.34,5.76,5.21
enamorado,8.33,7.32,4.56
encanto,7.68,5.86,5.86
enérgico,7.16,6.88,5.56
enfadado,2.20,6.61,3.84
enfado,2.50,7.33,4.40
enfermedad,1.51,6.10,2.44
enfermera,4.83,5.66,4.74
enfermo,1.61,4.50,3.01
enfurecido,2.02,7.48,3.76
engaño,1.89,6.61,3.58
engreído,2.16,6.06,4.08
ensalada,6.12,4.17,5.84
entierro,1.36,6.32,2.40
entrometido,2.72,6.07,4.09
entusiasmo,7.86,7.49,5.87
erótico,7.44,7.47,5.84
error,2.62,6.40,3.71
erudito,5.83,4.80,5.17
escándalo,3.47,6.32,3.63
escéptico,4.22,4.97,4.63
esclavo,1.62,5.97,3.39
esconder,3.63,5.28,4.43
escopeta,2.32,6.33,4.16
escorbuto,2.22,5.21,3.40
escoria,1.87,5.53,4.22
escorpión,2.86,7.13,3.16
escritor,6.47,4.74,5.10
esfera,5.27,4.24,4.84
espacio,6.30,5.14,4.66
espantoso,2.18,6.54,3.93
esperanza,8.11,6.59,5.79
esperanzado,7.41,6.24,5.69
espina,2.64,5.80,4.28
espíritu,5.51,4.86,4.27
esposa,5.61,4.88,5.41
esposo,6.03,5.50,5.41
espuma,6.47,4.84,5.66
esquina,4.47,4.57,4.76
estancado,2.63,4.57,3.84
estatua,5.32,3.94,4.92
estiércol,2.02,4.64,4.40
estómago,4.39,4.73,4.63
estrella,7.52,4.60,4.48
estremecerse,3.67,6.17,3.27
estrés,1.83,7.32,3.13
estufa,6.37,3.74,5.98
estúpido,2.60,5.58,3.86
eufórico,6.80,7.53,4.62
excelencia,6.01,5.39,5.08
excitado,6.50,7.89,4.60
excusa,3.14,6.11,5.06
éxito,7.69,6.83,5.79
exquisito,7.44,5.74,5.47
éxtasis,4.76,6.69,4.14
exterior,6.41,5.62,4.83
extraordinario,7.37,6.12,5.09
extraterrestre,4.66,5.87,3.52
fácil,6.92,4.48,6.80
falso ,1.73,6.17,4.16
fama,5.46,6.18,4.34
famélico,2.12,5.82,3.68
familia,8.18,5.31,5.89
famoso,5.18,5.07,4.54
fantasía,7.39,6.96,5.46
faro,5.48,4.20,4.93
farol,4.93,4.47,5.17
fascinar,7.42,6.84,5.89
fase,4.82,4.80,4.66
fastidiar,2.26,5.90,4.77
fatigado,2.61,4.08,4.01
favor,6.58,5.70,5.33
feliz,8.37,6.97,6.44
feo,3.08,4.16,3.88
festivo,7.97,6.47,5.36
fétido,2.14,5.31,3.94
fiebre,1.86,4.03,2.98
fiesta,8.26,7.66,5.96
firmamento,7.79,4.80,4.14
flemón,1.96,5.36,3.39
flexible,5.91,4.84,5.29
flor,7.34,4.46,5.69
florecer,7.49,5.38,4.81
fofo,3.01,4.02,4.49
folleto,4.79,4.33,5.38
follón,2.62,6.77,4.04
fortuito,5.89,5.57,3.59
fracaso,1.64,5.51,3.52
fragancia,7.76,5.22,5.97
fraude,1.86,5.82,3.29
frío,3.21,4.98,4.33
frustrado,1.88,5.10,3.19
fuego,5.00,6.51,3.97
fuerte,6.30,5.88,5.32
funeral,1.48,5.06,2.50
furcia,2.66,4.86,4.23
fusil,2.08,6.41,3.26
ganancias,7.58,6.34,5.30
ganar,7.84,7.68,6.12
gangrena,1.68,6.62,2.82
gatito,6.96,4.86,5.73
gato,6.13,4.94,5.14
gélido,3.28,4.97,4.08
género,4.87,4.90,4.84
generoso,7.57,5.53,5.67
genial,7.98,6.62,6.37
gente,6.53,6.24,4.57
gérmenes,1.78,6.26,3.42
gimnasta,5.91,5.42,5.26
glaciar,5.76,5.03,4.10
glamour,5.94,5.51,5.47
gloria,6.90,5.80,5.51
goce,8.09,6.62,5.80
golfista,4.43,4.33,5.18
golpe,2.33,6.03,3.74
gordo,3.56,4.89,4.84
graduado,7.09,6.16,6.59
granada,3.42,6.61,3.87
granja,5.53,4.90,5.22
grave,1.89,6.83,3.24
grito,3.39,7.42,4.43
grosero,2.22,5.99,4.30
guapa,7.22,5.40,5.18
guapo,7.79,6.64,5.07
guardería,6.59,6.07,4.98
guerra,1.23,7.28,2.04
guillotina,1.87,6.13,3.17
guiño,6.93,6.09,5.28
gusano,2.99,5.07,4.60
habitante,5.91,4.61,5.19
hábito,4.84,4.33,5.87
halcón,5.29,5.13,4.26
hambriento,3.12,6.29,3.56
hamburguesa,5.78,4.86,5.38
harto,2.73,5.78,4.27
hastío,2.46,4.00,3.61
hedor,1.91,5.62,3.81
heno,5.00,3.97,5.24
heridas,2.07,6.43,3.99
herido,1.98,6.73,3.31
hermano,7.81,5.08,5.86
hermoso,7.61,5.44,5.13
heroína,3.61,6.09,4.54
herramienta,4.58,4.51,5.43
hervir,4.81,4.77,5.21
hierro,4.44,4.44,4.93
historia,5.37,4.32,4.93
hogar,7.63,5.01,6.29
hombre,6.91,6.06,5.10
homicida,1.68,6.69,3.10
honesto,7.52,5.02,6.09
hongo,2.91,4.90,4.00
honor,7.36,5.53,6.47
hornear,5.47,4.71,5.54
horquilla,5.11,4.21,5.71
horror,1.68,6.89,2.81
hospital,2.07,5.49,3.46
hostil,2.20,5.97,3.96
hotel,6.39,5.49,5.54
huevo,5.01,3.94,5.31
humano,6.67,5.49,5.17
humilde,6.59,4.16,5.64
humillar,1.68,6.42,3.68
humor,7.70,6.90,5.47
huracán,2.28,7.16,2.63
idea,7.36,6.62,6.46
identidad,6.20,5.04,6.01
idiota,2.56,5.11,4.73
ídolo,6.29,5.80,4.86
iglesia,3.77,4.31,4.78
ignorancia,2.00,5.18,4.51
imaginar,7.58,6.33,6.29
imparcial,4.68,4.83,4.84
impotente,1.98,5.58,2.82
impresionado,6.09,6.69,4.20
incentivo,7.39,6.71,5.66
incomodidad,2.16,6.57,4.33
incordio,2.29,5.83,4.26
indefenso,1.89,5.71,2.83
indiferente,3.98,4.72,4.90
industria,4.21,4.83,4.47
infección,1.69,6.47,2.94
infeliz,1.43,4.73,3.27
inferior,2.50,4.86,4.01
infiel,1.70,6.81,4.13
infierno,2.47,5.40,3.46
ingenio,7.34,6.28,5.70
inmaduro,3.18,5.10,4.67
inmoral,2.86,5.91,4.76
inocente,6.31,4.39,5.14
inquieto,4.47,6.83,4.23
insecto,3.24,5.57,4.13
inseguro,2.18,6.29,2.72
insolente,2.44,5.82,4.17
inspirado,7.04,5.78,6.03
inspirar,7.17,5.14,5.46
insulto,2.33,6.30,4.17
intelecto,6.56,5.16,6.47
interés,6.57,5.89,5.96
íntimo,7.46,5.13,6.38
intruso,2.36,6.64,3.33
inundación,1.99,6.30,2.52
inútil,2.09,5.19,4.00
invasor,2.52,6.96,3.57
invertir,5.27,5.63,5.09
invitación,7.86,6.79,5.42
irritar,1.93,6.34,4.14
jaqueca,1.58,4.38,2.62
jardín,7.99,4.47,5.96
jarra,4.81,4.17,5.83
joven,7.71,6.60,4.93
jovial,7.23,5.59,5.70
joya,6.51,5.32,5.51
júbilo,7.61,6.92,5.68
jubiloso,7.44,6.62,5.88
juego,6.94,6.72,5.62
juguete,6.72,5.06,6.13
justicia,7.00,5.78,4.98
juventud,7.82,6.60,4.49
ketchup,4.76,4.39,5.30
ladrón,1.93,6.98,3.41
lago,7.19,4.33,5.02
lámpara,5.42,4.24,6.01
lánguido,3.00,3.49,4.00
lápiz,4.98,4.63,6.00
lástima,1.79,5.62,3.92
lavabo,4.72,4.30,5.39
leal,7.73,4.88,5.82
leche,5.83,4.07,5.92
lento,3.71,4.27,4.81
león,4.98,7.09,3.73
lepra,1.42,6.91,2.88
lesbiana,5.37,4.81,4.68
lesión,1.92,5.69,3.54
leyenda,6.70,5.66,4.57
liberación,7.97,6.63,5.77
libertad,8.54,6.40,6.26
libre,8.28,6.38,7.01
libro,6.42,5.30,5.84
licenciado,7.56,6.31,6.20
líder,5.47,6.16,5.33
liga,5.38,5.06,4.78
linterna,5.11,4.22,5.56
liso,5.40,4.51,5.20
litro,5.07,4.14,5.26
llano,5.18,3.84,4.78
llave,5.57,4.28,5.89
lloriqueo,2.22,5.96,4.07
lluvia,4.52,4.43,3.11
lóbrego,3.39,5.26,4.16
loco,3.41,6.67,3.60
logro,8.01,6.99,6.58
lotería,6.98,6.22,3.63
lucha,2.40,6.67,4.24
lujo,6.51,5.57,4.66
lujuria,5.43,6.94,4.40
madre,8.19,5.19,5.74
maestro,5.50,4.98,4.82
magdalena,6.27,4.26,5.64
mágico,7.17,6.13,4.30
magistral,6.34,5.67,5.72
malaria,1.81,6.40,2.83
maleducado,2.21,6.06,4.03
maletero,4.21,4.19,4.70
malicia,2.08,6.02,3.70
maltrato,1.39,7.39,2.64
malvado,1.80,6.46,4.07
manera,5.00,4.50,4.99
manguera,5.26,4.62,5.42
maníaco,1.88,6.84,3.00
maniquí,4.38,3.91,4.99
mano,6.04,5.10,6.09
manosear,3.99,5.64,5.11
manso,5.90,3.51,5.21
mantequilla,5.20,4.03,5.40
máquina,4.44,4.83,5.42
maquinilla,4.22,4.59,5.30
maravilla,7.96,6.13,5.23
mareado,2.01,5.33,2.60
mariposa,6.74,4.60,5.31
mariquita,5.80,4.60,5.17
martillo,4.38,4.92,5.48
masacre,1.32,7.01,1.92
mascota,7.33,5.58,5.84
masturbarse,5.79,6.41,6.49
matanza,1.66,7.70,2.39
material,5.01,4.19,5.40
medicina,5.38,5.56,4.56
mejorar,7.46,6.41,6.69
melodía,7.71,5.31,6.39
memoria,6.41,5.14,5.26
mendigo,2.92,5.60,3.69
menosprecio,1.72,5.80,3.50
mente,6.41,5.81,5.93
mentira,1.88,6.51,4.32
mentón,4.67,4.38,4.47
mercado,5.41,4.98,5.07
mermelada,5.93,4.47,5.71
mes,5.03,4.61,4.60
mesa,4.80,4.21,5.13
metal,4.98,4.42,4.97
método,5.07,4.68,4.76
miedoso,2.57,6.09,3.67
miel,5.46,4.06,5.66
milagro,6.84,5.86,3.46
millonario,6.57,6.00,4.89
miseria,1.47,5.57,3.10
místico,5.64,4.98,4.87
modesto,6.31,4.24,5.86
moho,2.61,4.87,4.33
molde,4.76,4.02,5.46
molestar,2.33,6.37,4.02
molestia,2.17,6.00,3.82
molino,5.36,4.22,4.61
momento,6.00,5.31,5.41
moneda,6.01,5.72,5.64
monja,3.79,3.64,4.79
mono,5.29,5.10,4.49
montaña,6.49,4.99,4.84
moral,6.12,5.31,6.09
morboso,4.29,6.36,4.69
morgue,2.71,5.33,3.21
mosquito,2.54,5.84,4.28
motor,4.83,4.91,4.63
movilidad,7.16,6.23,6.14
mucosidad,2.58,4.69,4.08
mueca,5.20,5.11,5.29
muerte,1.23,6.46,1.93
muerto,1.17,5.99,1.98
mugre,1.93,5.21,5.04
mujer,6.40,4.89,5.51
muleta,2.87,4.50,4.24
multa,1.98,6.67,3.62
mundo,6.57,6.12,3.90
muñeca,6.24,4.48,5.79
musculoso,5.04,4.89,5.22
museo,6.26,4.52,5.44
música,8.16,6.62,6.61
mutación,3.27,5.24,3.00
mutilar,1.36,7.01,2.93
nadador,5.92,5.40,5.04
narcótico,2.92,5.71,4.32
natural,7.17,4.26,5.19
naturaleza,8.03,5.38,4.58
navidad,6.69,6.10,5.09
néctar,6.10,4.60,5.28
negligencia,1.88,6.06,3.17
negro,4.87,4.47,4.81
nene,7.36,5.40,5.62
nervioso,3.26,7.36,3.02
neurótico,2.57,6.51,3.94
nevera,5.44,4.84,5.50
nieve,7.00,5.34,4.40
niño,7.34,6.40,5.38
nombre,5.72,4.58,5.41
noticias,5.16,5.77,3.69
novia,6.63,5.79,5.04
novio,7.49,6.70,5.13
nubes,6.37,4.21,3.51
nublado,3.27,3.61,3.00
nudo,3.96,4.76,5.19
nutrir,6.30,5.12,5.91
obedecer,3.84,5.28,4.89
obesidad,2.28,5.22,3.73
obsceno,2.51,5.79,4.12
obsequio,7.80,6.29,5.37
obsesión,2.78,6.09,3.09
ocaso,6.39,4.54,4.19
océano,7.54,5.36,4.38
odiar,1.86,6.48,4.23
odio,1.74,7.01,3.67
ofender,2.10,5.96,4.57
oficina,4.09,4.64,5.08
olla,4.66,4.16,5.38
opción,6.08,5.70,5.94
opinión,6.34,5.69,5.71
oportunidad,7.91,7.07,5.31
optimismo,8.31,6.38,6.33
ordenado,6.57,4.19,6.78
ordenador,5.50,5.06,5.27
orgasmo,8.06,8.16,5.13
orgullo,5.12,5.96,5.40
orgulloso,5.53,5.80,5.82
orina,2.82,4.64,5.29
oro,6.68,5.76,5.04
orquesta,6.24,5.26,4.64
oscuro,3.71,5.06,4.04
otoño,5.17,4.44,4.19
oxidado,3.11,3.97,4.34
paciente,4.36,4.88,4.78
padre,7.00,4.86,4.94
pájaro,6.43,4.79,4.53
palacio,6.91,5.03,5.00
paloma,6.32,4.38,5.04
pancarta,5.49,5.17,5.08
pánico,1.53,7.72,2.43
pantano,3.97,4.81,3.94
pañuelo,4.33,4.17,5.36
papel,4.98,3.89,5.73
paraguas,4.27,3.99,5.23
paraíso,8.24,5.70,5.70
parálisis,1.33,5.16,2.16
pareja,7.91,7.08,5.60
parte,4.66,4.52,5.04
pasaje,5.23,4.92,4.74
pasillo,4.37,4.47,4.74
pasión,7.84,7.96,4.96
pasta,6.22,4.92,5.62
pastel,7.18,5.28,5.69
patente,4.77,4.53,5.04
patriota,4.91,5.52,5.33
pausado,5.19,3.23,5.33
paz,8.11,3.49,5.71
pecado,3.92,5.54,4.92
pecaminoso,3.66,5.57,4.54
película,7.14,5.41,5.87
peligro,2.02,7.56,2.93
pellizco,3.17,5.89,4.20
pena,1.60,4.80,3.22
pene,5.93,6.54,5.54
penoso,2.13,5.31,3.88
pensamiento,5.91,5.51,5.56
perdedor,2.10,5.33,3.72
perdido,2.28,6.18,2.73
perezoso,3.62,3.37,4.67
perfección,6.58,5.83,5.78
perfume,7.03,4.88,5.59
perro,6.50,5.83,5.08
persona,6.89,5.27,5.58
perverso,2.59,6.12,3.90
pervertido,1.96,6.54,3.42
pesadilla,1.80,7.31,2.30
pesar,3.04,5.41,4.33
pesaroso,2.86,4.24,4.00
pescado,5.70,4.63,5.09
pesimismo,2.06,4.61,3.41
peste,1.53,6.20,3.01
pezón,6.14,5.42,5.27
pie,4.67,4.58,5.19
piel,6.19,4.90,5.23
pieza,4.84,4.12,5.12
pinchazo,2.18,6.69,3.70
pintura,6.20,5.20,5.64
piojo,1.97,5.64,3.64
piojos,1.90,6.32,3.46
pirotecnia,5.06,6.48,3.79
pistola,1.83,7.08,3.58
pitón,2.93,6.82,3.16
pizza,7.07,5.31,6.00
placer,8.48,7.57,5.69
planta,6.46,3.80,5.28
playa,8.07,5.93,6.28
pleito,2.81,6.07,3.64
pobreza,1.54,5.89,3.07
poder,5.73,6.09,5.70
poderoso,5.37,5.40,5.53
podrido,1.91,5.16,4.17
poesía,7.23,5.60,5.36
ponzoña,3.39,4.37,4.16
porquería,1.66,5.37,5.30
póster,5.49,4.63,4.96
pradera,7.49,5.03,5.59
precipicio,2.60,6.91,3.28
predominante,4.70,5.14,4.96
prenda,5.88,4.54,5.43
presión,2.70,7.08,4.07
prestigio,7.17,6.09,6.44
primavera,7.53,5.99,4.76
prisión,1.98,5.56,3.56
privacidad,6.08,4.88,6.11
problema,1.89,6.56,3.81
progreso,7.29,6.43,5.59
promoción,5.89,5.58,5.29
protegido,6.69,4.01,6.10
publicación,5.31,4.91,5.06
pueblo,6.52,5.21,5.60
puerta,5.07,4.36,5.18
puntapié,3.24,5.83,4.49
pus,1.70,5.91,3.83
puta,3.24,5.46,4.11
putrefacto,1.64,5.36,3.94
queja,2.84,5.67,4.73
quemadura,1.76,6.83,3.54
queroseno,3.19,5.04,4.00
rabia,2.33,7.47,3.60
radiador,5.50,3.97,5.39
radiante,7.43,5.94,5.58
radio,6.29,5.52,5.87
ramo,6.42,5.17,5.54
rana,4.23,4.81,4.80
rancio,2.41,4.72,4.66
rápido,5.71,6.30,5.26
rapto,1.67,7.00,2.36
raro,4.24,4.99,4.11
rascacielos,4.73,5.94,4.29
rata,2.67,6.32,3.78
rebelde,4.56,6.14,4.13
recado,4.43,4.83,4.98
rechazado,1.94,5.71,3.03
recogedor,4.22,4.28,5.41
recompensa,7.60,6.36,5.76
reconocido,6.11,5.02,5.40
recuerdos,6.96,5.69,5.80
refrigerio,5.18,4.68,5.14
regalo,7.91,6.63,5.13
rehén,1.74,6.39,2.58
reina,4.91,4.74,4.66
relajado,7.53,2.86,6.19
relámpago,3.98,6.57,2.86
reloj,4.96,4.72,5.29
repisa,4.73,4.24,5.03
reptil,3.41,6.08,3.56
repugnante,1.78,5.82,3.73
rescate,7.27,7.00,4.71
resentirse,2.29,5.86,3.58
reservado,4.50,3.91,5.04
respeto,7.27,4.74,6.10
respetuoso,7.63,4.21,6.76
respuesta,5.79,5.52,5.64
restaurante,6.72,5.71,5.87
retrasado,2.84,5.11,3.28
reunión,5.62,5.90,5.20
reverente,4.59,4.60,4.74
revólver,2.13,7.01,3.69
revuelta,3.23,6.64,3.16
rey,4.98,4.36,4.34
rifle,1.92,6.26,3.24
